,obstore
0,0.37732529640197754
1,0.7959392070770264
2,1.0449421405792236
3,1.1716923713684082
4,1.4490866661071777
5,1.67820405960083
6,1.9039733409881592
7,2.3252298831939697
8,2.5215840339660645
9,2.710359811782837
10,3.3815829753875732
11,3.6156392097473145
12,4.044571876525879
13,5.243854284286499
14,5.507846832275391
15,5.876913547515869
16,6.210055112838745
17,6.774122953414917
18,6.9182329177856445
19,7.304704427719116
